prices,
29.99,
14.4,
12,
11.2,
16,
10.44,
11.2,
15,
51.95,
10.5,
24.99,
40,
11.2,
5,
9,
2,
68,
20.99,
7.19,
7.5,
40,
4.13,
6,
7,
9,
5,
12.5,
3.5,
10.74,
6,
11.2,
10,
8.99,
30,
4.98,
4.5,
5,
6,
15,
11.2,
3,
5,
11.2,
40,
5.4,
35,
11.2,
9,
7,
6,
8,
4,
11.99,
4,
7.9,
11.2,
11.2,
5.4,
7.9,
40,
